,id,provider,title,description,category,skill level,is_paid,class,rating,URL,processed_description
46,47,codecademy,Computer Science,"No matter what your coding goals are, the best place to start is by building a strong foundation. Get the specialized skills and portfolio you need to start your career in computer science with this curated career path. Includes Python, Command Line, Git, Data Structures, and more. Write live code, build projects, and practice for interviews. Finish in 20 weeks with a professional certification. Similar to a college course, this path will teach you how to think and code like a programmer, build your portfolio, and prepare for an entry-level role in tech. Become a Python pro: Learn the ins and outs of one of the fastest growing programming languages. Write super-efficient code: Apply your problem-solving skills to write cleaner code from the beginning. Prepare for your career: Get job-ready with portfolio projects and more.","programming language, computer science",beginner,yes,paid,,https://join.codecademy.com/learn/paths/computer-science-b/,matter coding goal best place start building strong foundation get specialized skill portfolio need start career computer science curated career path includes python command line git data structure write live code build project practice interview finish 20 week professional certification similar college course path teach think code like programmer build portfolio prepare entrylevel role tech become python pro learn in out one fastest growing programming language write superefficient code apply problemsolving skill write cleaner code beginning prepare career get jobready portfolio project
47,48,youtube,CS50 Lectures 2018,"Among the overarching goals of this course, independent of its curriculum, are to inspire students to explore unfamiliar waters, without fear of failure, create an intensive, shared experience, accessible to all students, and build community among students. Among the overarching goals for students individually in this course is that they learn something that we haven’t taught them, as is manifest at term’s end by so many students’ final projects that use languages, libraries, tools, and techniques not taught in the course. Along the way will students learn to: think more methodically, program procedurally, represent and process information, communicate succinctly and precisely, solve problems efficiently, recognize patterns among problems, decompose problems into parts and compose solutions thereto, operate at multiple levels of abstraction, separate design from implementation details, infer from first principles how systems work, assess the correctness, design, and style of code, teach themselves new languages, identify threats to privacy and security, read documentation, drawing conclusions from specifications, test solutions to problems, find faults, and identify corner cases, describe symptoms of problems precisely and ask questions clearly, and identify and quantify tradeoffs among resources, particularly time and space. Ultimately, the course provides students with a foundation for further studies in computer science and empowers students to apply computer science to problems in other domains.","programming language, computer science",beginner,no,free,,https://www.youtube.com/playlist?list=PLhQjrBD2T382eX9-tF75Wa4lmlC7sxNDH,among overarching goal course independent curriculum inspire student explore unfamiliar water without fear failure create intensive shared experience accessible student build community among student among overarching goal student individually course learn something havent taught manifest term end many student final project use language library tool technique taught course along way student learn think methodically program procedurally represent process information communicate succinctly precisely solve problem efficiently recognize pattern among problem decompose problem part compose solution thereto operate multiple level abstraction separate design implementation detail infer first principle system work ass correctness design style code teach new language identify threat privacy security read documentation drawing conclusion specification test solution problem find fault identify corner case describe symptom problem precisely ask question clearly identify quantify tradeoff among resource particularly time space ultimately course provides student foundation study computer science empowers student apply computer science problem domain
48,49,aws,AWS Certified Cloud Practitioner,"The AWS Certified Cloud Practitioner validates foundational, high-level understanding of AWS Cloud, services, and terminology.  This is a good starting point on the AWS Certification journey for individuals with no prior IT or cloud experience switching to a cloud career or for line-of-business employees looking for foundational cloud literacy.",cloud computing,beginner,yes,paid,,https://aws.amazon.com/certification/certified-cloud-practitioner/?ch=sec&sec=rmg&d=1,aws certified cloud practitioner validates foundational highlevel understanding aws cloud service terminology good starting point aws certification journey individual prior cloud experience switching cloud career lineofbusiness employee looking foundational cloud literacy
49,50,aws,AWS Certified Developer - Associate,"AWS Certified Developer - Associate showcases knowledge and understanding of core AWS services, uses, and basic AWS architecture best practices, and proficiency in developing, deploying, and debugging cloud-based applications by using AWS. Preparing for and attaining this certification gives certified individuals more confidence and credibility. Organizations with AWS Certified developers have the assurance of having the right talent to give them a competitive advantage and ensure stakeholder and customer satisfaction.",cloud computing,intermediate,yes,paid,,https://aws.amazon.com/certification/certified-developer-associate/,aws certified developer associate showcase knowledge understanding core aws service us basic aws architecture best practice proficiency developing deploying debugging cloudbased application using aws preparing attaining certification give certified individual confidence credibility organization aws certified developer assurance right talent give competitive advantage ensure stakeholder customer satisfaction
50,51,aws,Developer Learning Plan,"A Learning Plan pulls together training content for a particular role or solution, and organizes those assets from foundational to advanced.   Use Learning Plans as a starting point to discover training that matters to you. This Learning Plan is designed to help Developers who want to learn how to develop modern applications on AWS. The digital training included in this Learning Plan will expose you to developing with serverless and container technologies, as well as the foundation of DevOps on AWS. This Learning Plan can also help prepare you for the AWS Certified Developer - Associate certification exam.",cloud computing,beginner,no,free,,https://explore.skillbuilder.aws/learn/public/learning_plan/view/84/developer-learning-plan?la=cta&cta=topbanner,learning plan pull together training content particular role solution organizes asset foundational advanced use learning plan starting point discover training matter learning plan designed help developer want learn develop modern application aws digital training included learning plan expose developing serverless container technology well foundation devops aws learning plan also help prepare aws certified developer associate certification exam
51,52,aws,AWS Certified Solutions Architect - Associate,"AWS Certified Solutions Architect - Associate showcases knowledge and skills in AWS technology, across a wide range of AWS services. The focus of this certification is on the design of cost and performance optimized solutions, demonstrating a strong understanding of the AWS Well-Architected Framework. This certification can enhance the career profile and earnings of certified individuals and increase your credibility and confidence in stakeholder and customer interactions.",cloud computing,intermediate,yes,paid,,https://aws.amazon.com/certification/certified-solutions-architect-associate/,aws certified solution architect associate showcase knowledge skill aws technology across wide range aws service focus certification design cost performance optimized solution demonstrating strong understanding aws wellarchitected framework certification enhance career profile earnings certified individual increase credibility confidence stakeholder customer interaction
52,53,aws,AWS Certified DevOps Engineer - Professional,"The AWS Certified DevOps Engineer - Professional showcases individuals’ technical expertise in provisioning, operating, and managing distributed application systems on the AWS platform, giving them increased confidence and credibility with peers, stakeholders, and customers. Organizations with these qualified professionals can ensure speedy delivery of secure, compliant, systems that are highly available and scalable.",cloud computing,professional,yes,paid,,https://aws.amazon.com/certification/certified-devops-engineer-professional/,aws certified devops engineer professional showcase individual technical expertise provisioning operating managing distributed application system aws platform giving increased confidence credibility peer stakeholder customer organization qualified professional ensure speedy delivery secure compliant system highly available scalable
53,54,youtube,Python for Beginners - Learn Python in 1 Hour,This Python tutorial for beginners show how to get started with Python quickly. Learn to code in 1 hour! Watch this tutorial get started! ,programming language,beginner,no,free,,https://www.youtube.com/watch?v=kqtD5dpn9C8&t=16s,python tutorial beginner show get started python quickly learn code 1 hour watch tutorial get started
54,55,youtube,Learn Python - Full Course for Beginners [Tutorial],This course will give you a full introduction into all of the core concepts in python. Follow along with the videos and you'll be a python programmer in no time!,programming language,beginner,no,free,,https://www.youtube.com/watch?v=rfscVS0vtbw&t=458s,course give full introduction core concept python follow along video youll python programmer time
55,56,youtube,Python as Fast as Possible - Learn Python in 75 Minutes,This python tutorial aims to teach you python as fast as possible. This python speed course will cover all the fundamentals of python and give you a quick overview of all of the main python features.,programming language,beginner,no,free,,https://www.youtube.com/watch?v=VchuKL44s6E,python tutorial aim teach python fast possible python speed course cover fundamental python give quick overview main python feature
56,57,roadmap,Frontend Developer,Step by step guide to becoming a modern frontend developer in 2023,"programming language, frontend development",any,no,free,,https://roadmap.sh/frontend,step step guide becoming modern frontend developer 2023
57,58,roadmap,Frontend Developer,Step by step guide to becoming a modern frontend developer in 2023,"programming language, frontend development",beginner,no,free,,https://roadmap.sh/frontend?r=frontend-beginner,step step guide becoming modern frontend developer 2023
58,59,roadmap,Backend Developer,Step by step guide to becoming a modern backend developer in 2023,"programming language, backend development",any,no,free,,https://roadmap.sh/backend,step step guide becoming modern backend developer 2023
59,60,roadmap,DevOps Roadmap,"Step by step guide for DevOps, SRE or any other Operations Role in 2023","programming language, software development methodology",any,no,free,,https://roadmap.sh/devops,step step guide devops sre operation role 2023
60,61,roadmap,Full Stack Developer,Step by step guide to becoming a modern full stack developer in 2023,"programming language, fullstack development",any,no,free,,https://roadmap.sh/full-stack,step step guide becoming modern full stack developer 2023
61,62,roadmap,QA Engineer,Steps to follow in order to become a modern QA Engineer in 2023,"software testing, quality assurance",any,no,free,,https://roadmap.sh/qa,step follow order become modern qa engineer 2023
62,63,roadmap,Cyber Security Expert,Step by step guide to becoming a Cyber Security Expert in 2023,cybersecurity,intermediate,no,free,,https://roadmap.sh/cyber-security,step step guide becoming cyber security expert 2023
63,64,roadmap,Software Architect,Step by step guide to becoming a Software Architect in 2023,software development,beginner,no,free,,https://roadmap.sh/software-architect,step step guide becoming software architect 2023
64,65,roadmap,Blockchain Developer,Step by step guide to becoming a blockchain developer in 2023.,"programming language, software development",beginner,no,free,,https://roadmap.sh/blockchain,step step guide becoming blockchain developer 2023
65,66,roadmap,Python Developer,Step by step guide to becoming a Python developer in 2023,programming language,beginner,no,free,,https://roadmap.sh/python,step step guide becoming python developer 2023
66,67,roadmap,React Developer,Everything that is there to learn about React and the ecosystem in 2023.,"programming language, frontend development",intermediate,no,free,,https://roadmap.sh/react,everything learn react ecosystem 2023
67,68,roadmap,Docker Roadmap,Step by step guide to learning Docker in 2023.,container technology,beginner,no,free,,https://roadmap.sh/docker,step step guide learning docker 2023
68,69,roadmap,JavaScript Roadmap,Step by step guide to learn JavaScript in 2023.,programming language,beginner,no,free,,https://roadmap.sh/javascript,step step guide learn javascript 2023
69,70,roadmap,Computer Science,Computer Science curriculum with free resources for a self-taught developer.,"programming language, software development, database management",beginner,no,free,,https://roadmap.sh/computer-science,computer science curriculum free resource selftaught developer
70,71,roadmap,MongoDB Roadmap,Step by step guide to learning MongoDB in 2023.,database management,beginner,no,free,,https://roadmap.sh/mongodb,step step guide learning mongodb 2023
71,72,roadmap,Kubernetes Roadmap,Step by step guide to learning Kubernetes in 2023,container technology,beginner,no,free,,https://roadmap.sh/kubernetes,step step guide learning kubernetes 2023
72,73,roadmap,Angular Developer,Everything that is there to learn about Angular and the ecosystem in 2023.,"programming language, frontend development",intermediate,no,free,,https://roadmap.sh/angular,everything learn angular ecosystem 2023
73,74,roadmap,Vue Developer,Everything that is there to learn about Vue and the ecosystem in 2023.,"programming language, frontend development",intermediate,no,free,,https://roadmap.sh/vue,everything learn vue ecosystem 2023
74,75,roadmap,Java Developer,Step by step guide to becoming a Java developer in 2023.,programming language,beginner,no,free,,https://roadmap.sh/java,step step guide becoming java developer 2023
75,76,roadmap,SQL Roadmap,Step by step guide to learning SQL in 2023.,database management,beginner,no,free,,https://roadmap.sh/sql,step step guide learning sql 2023
76,77,ironhack,Web Development,"Become a Full-Stack developer with our Web Development bootcamp. Get hands-on training in the most in-demand skills, like HTML, CSS, JavaScript, and React.","programming language, frontend development",beginner,yes,bootcamp,,https://www.ironhack.com/uk/en/web-development,become fullstack developer web development bootcamp get handson training indemand skill like html cs javascript react
77,78,ironhack,Data Analytics,"Become a Data Analyst with our Data Analytics bootcamp. Apply fundamental skills like Git, Python, and MySQL to your own projects and build your portfolio.","programming language, data analytics",beginner,yes,bootcamp,,https://www.ironhack.com/uk/en/data-analytics,become data analyst data analytics bootcamp apply fundamental skill like git python mysql project build portfolio
78,79,ironhack,Cybersecurity,"Launch your career in Cyber with our Cybersecurity bootcamp. Gain an in-depth knowledge of computer systems, cyber-forensic methodologies, and protect from real-time Cyber-attacks.",cybersecurity,beginner,yes,bootcamp,,https://www.ironhack.com/uk/en/cybersecurity,launch career cyber cybersecurity bootcamp gain indepth knowledge computer system cyberforensic methodology protect realtime cyberattacks
79,80,flatiron school,Software Engineering,"All students are required to complete Software Engineering Prep one week before the start of class, which takes between 60-80 hours. Students are required to have a basic understanding of HTML, CSS and JavaScript by completing prep. During prep, students will get accustomed to the Canvas platform, set up their computing environment and level set their knowledge of the basics of the programming languages that will prepare them for day 1. Students will learn how JavaScript works under the hood while gaining hands-on experience with JavaScript programming, interacting with the DOM, and event listeners. In addition, students will discover how AI models can help debug issues faster, as well as how to leverage AI chatbots through prompt engineering to clarify misconceptions. Students learn ReactJS, a component-based JavaScript framework, and have the opportunity to pick up key industry skills by building a project that interacts with an API. Students will also gain understanding of how AI tools can assist with code completion as well as generate unit tests for components. Students gain a thorough understanding of back end development basics, while learning a new language, Python. Next, students will get comfortable with object-oriented programming and storing information in databases using A1 SQL Builder and object relational mapping. Once students understand Python basics, they will learn to integrate AI features into their apps. Students learn Flask, a Python web framework, before using it to create their own JSON API along with scalable front ends with React, creating slick, functional, and interactive applications. After completing the four phases, each with their own group project, students work with instructors to come up with solo project concepts and spend dedicated time building a truly sophisticated application on their own. Students receive plenty of instructor feedback along the way, while diving deep into various advanced technologies needed to bring their concepts to life. Students have the opportunity to share or present their final individual project.",software development,beginner,yes,bootcamp,,https://flatironschool.com/courses/coding-bootcamp/,student required complete software engineering prep one week start class take 6080 hour student required basic understanding html cs javascript completing prep prep student get accustomed canvas platform set computing environment level set knowledge basic programming language prepare day 1 student learn javascript work hood gaining handson experience javascript programming interacting dom event listener addition student discover ai model help debug issue faster well leverage ai chatbots prompt engineering clarify misconception student learn reactjs componentbased javascript framework opportunity pick key industry skill building project interacts api student also gain understanding ai tool assist code completion well generate unit test component student gain thorough understanding back end development basic learning new language python next student get comfortable objectoriented programming storing information database using a1 sql builder object relational mapping student understand python basic learn integrate ai feature apps student learn flask python web framework using create json api along scalable front end react creating slick functional interactive application completing four phase group project student work instructor come solo project concept spend dedicated time building truly sophisticated application student receive plenty instructor feedback along way diving deep various advanced technology needed bring concept life student opportunity share present final individual project
80,81,flatiron school,Data Science,"No matter where you’re starting from, Prework is meant to build your foundational knowledge and prepare you for success in the course. First up in this course are Python and SQL. You’ll learn to distill messy, real-world datasets into analytical insights and create interactive data visualizations. Next, you’ll move beyond the “data” and into the “science” of data science. You will use scientific computing tools in Python, including NumPy, pandas, and SciPy to produce publication-quality, reproducible data reports. In this phase, students gain experience with artificial intelligence by using statistical models to make predictions about unseen data. Students start with inferential modeling via multiple linear regression and transformations of linear models. Next, they learn about object-oriented programming with scikit-learn, and then move on to the fundamentals of artificial intelligence theory, including concepts such as data leakage, overfitting, and regularization. Once students have a strong foundation in artificial intelligence from the previous phase, they are ready to move on to advanced AI models, deployment, and model interpretability. Some of the models have interfaces in scikit-learn similar to linear or logistic regression but more complex artificial intelligence algorithms underneath, such as k-nearest neighbors, random forests, clustering, and principal component analysis. Students also learn how to build artificial intelligence models for additional types of data, such as text data (also known as NLP or natural language processing). Further, students learn about the following two artificial intelligence models recommendation systems and deep learning with neural networks. To round out the phase, students learn how to quantitatively interpret model results and how to deploy artificial intelligence models with pipelines. The course finishes out with a capstone project. You’ll use everything you’ve learned to work through an independent machine learning project and prepare to highlight it in your professional portfolio.",data science,beginner,yes,bootcamp,,https://flatironschool.com/courses/data-science-bootcamp/,matter youre starting prework meant build foundational knowledge prepare success course first course python sql youll learn distill messy realworld datasets analytical insight create interactive data visualization next youll move beyond data science data science use scientific computing tool python including numpy panda scipy produce publicationquality reproducible data report phase student gain experience artificial intelligence using statistical model make prediction unseen data student start inferential modeling via multiple linear regression transformation linear model next learn objectoriented programming scikitlearn move fundamental artificial intelligence theory including concept data leakage overfitting regularization student strong foundation artificial intelligence previous phase ready move advanced ai model deployment model interpretability model interface scikitlearn similar linear logistic regression complex artificial intelligence algorithm underneath knearest neighbor random forest clustering principal component analysis student also learn build artificial intelligence model additional type data text data also known nlp natural language processing student learn following two artificial intelligence model recommendation system deep learning neural network round phase student learn quantitatively interpret model result deploy artificial intelligence model pipeline course finish capstone project youll use everything youve learned work independent machine learning project prepare highlight professional portfolio
81,82,flatiron school,Cybersecurity,"No matter where you’re starting from, Prework is meant to build your foundational knowledge and prepare you for success in the course. Learn to leverage artificial intelligence, machine learning, and ChatGPT to assist with various concepts and tasks. Everyone starts out learning the fundamentals of Cybersecurity. You’ll learn about network security components, such as Ethernet and Wi-Fi, and explore systems security with concepts such as operating systems architecture and system exploits. Learn to leverage artificial intelligence, machine learning, and ChatGPT to assist with various concepts and tasks. Next, you’ll be briefed on military principles of intelligence analysis and the concept of cyber warfare. You’ll cover a range of topics on securing the modern enterprise from outside threats including governance, risk management, and compliance. Learn to leverage artificial intelligence, machine learning, and ChatGPT to assist with various concepts and tasks. Python and engineering solutions are up next. You’ll use basic coding and analysis to create Python scripts and automation and learn to analyze logs in various network devices. Learn to leverage artificial intelligence, machine learning, and ChatGPT to assist with various concepts and tasks. After developing coding skills, you’ll use your new knowledge to perform penetration testing for vulnerabilities in applications and network security resources. Learn to leverage artificial intelligence, machine learning, and ChatGPT to assist with various concepts and tasks. Next, you’ll learn the components of cryptography with hands-on experience configuring a web server with SSL/TLS, interfacing with Certificate Authorities, issuing certificates, and securely configuring SSH. Learn to leverage artificial intelligence, machine learning, and ChatGPT to assist with various concepts and tasks. The course finishes out with a scenario capstone activity. You’ll use everything you’ve learned to work through the particulars along multiple paths and prepare to highlight it in your professional portfolio. Learn to leverage artificial intelligence, machine learning, and ChatGPT to assist with various concepts and tasks.",cybersecurity,beginner,yes,bootcamp,,https://flatironschool.com/courses/cybersecurity-engineering-bootcamp/,matter youre starting prework meant build foundational knowledge prepare success course learn leverage artificial intelligence machine learning chatgpt assist various concept task everyone start learning fundamental cybersecurity youll learn network security component ethernet wifi explore system security concept operating system architecture system exploit learn leverage artificial intelligence machine learning chatgpt assist various concept task next youll briefed military principle intelligence analysis concept cyber warfare youll cover range topic securing modern enterprise outside threat including governance risk management compliance learn leverage artificial intelligence machine learning chatgpt assist various concept task python engineering solution next youll use basic coding analysis create python script automation learn analyze log various network device learn leverage artificial intelligence machine learning chatgpt assist various concept task developing coding skill youll use new knowledge perform penetration testing vulnerability application network security resource learn leverage artificial intelligence machine learning chatgpt assist various concept task next youll learn component cryptography handson experience configuring web server ssltls interfacing certificate authority issuing certificate securely configuring ssh learn leverage artificial intelligence machine learning chatgpt assist various concept task course finish scenario capstone activity youll use everything youve learned work particular along multiple path prepare highlight professional portfolio learn leverage artificial intelligence machine learning chatgpt assist various concept task
82,83,youtube,JavaScript Tutorial for Beginners: Learn JavaScript in 1 Hour,"JavaScript is one of the most popular programming languages in 2022. A lot of people are learning JavaScript to become front-end and/or back-end developers. I've designed this JavaScript tutorial for beginners to learn JavaScript from scratch. We'll start off by answering the frequently asked questions by beginners about JavaScript and shortly after we'll set up our development environment and start coding. Whether you're a beginner and want to learn to code, or you know any programming language and just want to learn JavaScript for web development, this tutorial helps you learn JavaScript fast. You don't need any prior experience with JavaScript or any other programming languages. Just watch this JavaScript tutorial to the end and you'll be writing JavaScript code in no time. If you want to become a front-end developer, you have to learn JavaScript. It is the programming language that every front-end developer must know. You can also use JavaScript on the back-end using Node. Node is a run-time environment for executing JavaScript code outside of a browser. With Node and Express (a popular JavaScript framework), you can build back-end of web and mobile applications. If you're looking for a crash course that helps you get started with JavaScript quickly, this course is for you.",programming language,beginner,no,free,,https://www.youtube.com/watch?v=W6NZfCO5SIk,javascript one popular programming language 2022 lot people learning javascript become frontend andor backend developer ive designed javascript tutorial beginner learn javascript scratch well start answering frequently asked question beginner javascript shortly well set development environment start coding whether youre beginner want learn code know programming language want learn javascript web development tutorial help learn javascript fast dont need prior experience javascript programming language watch javascript tutorial end youll writing javascript code time want become frontend developer learn javascript programming language every frontend developer must know also use javascript backend using node node runtime environment executing javascript code outside browser node express popular javascript framework build backend web mobile application youre looking crash course help get started javascript quickly course
83,84,youtube,Learn JavaScript - Full Course for Beginners,This complete 134-part JavaScript tutorial for beginners will teach you everything you need to know to get started with the JavaScript programming language.,programming language,beginner,no,free,,https://www.youtube.com/watch?v=PkZNo7MFNFg,complete 134part javascript tutorial beginner teach everything need know get started javascript programming language
84,85,youtube,God-Tier Developer Roadmap,"The programming iceberg is complete roadmap to the loved, hated, historical, and weird programming languages that you should now about. It starts with easy-to-learn coding tools, then descends into the most difficult low-level and esoteric languages. Featuring C, C++, C#, F#, HolyC, C--, Java, JavaScript, Python, Rust, Fortran, Lisp, V, Nim, Zig, APL, Ada, COBOL, Haskell, Scala, Clojure, Kotlin, Swift, Lua, PHP, Elixir, Erlang, Chef, Malbolge, lolcode, emojicode, ASM and many more!",software development,beginner,no,free,,https://www.youtube.com/watch?v=pEfrdAtAmqk&t=9s,programming iceberg complete roadmap loved hated historical weird programming language start easytolearn coding tool descends difficult lowlevel esoteric language featuring c c c f holyc c java javascript python rust fortran lisp v nim zig apl ada cobol haskell scala clojure kotlin swift lua php elixir erlang chef malbolge lolcode emojicode asm many
85,86,youtube,How I Would Learn To Code (If I Could Start Over),"If I could go back in time and learn to code, I would do a lot of things differently. If I could start over, I'd spend more time doing practical projects rather than focusing on theory. I would also prioritize learning how to use an editor and the terminal. And above all, I'd adopt a coding mindset. Today, I walk you through an entire study plan to become a coder/software engineer. I hope this guide inspires you to keep coding and continue your software engineering career. ",software development,beginner,no,free,,https://www.youtube.com/watch?v=k9WqpQp8VSU,could go back time learn code would lot thing differently could start id spend time practical project rather focusing theory would also prioritize learning use editor terminal id adopt coding mindset today walk entire study plan become codersoftware engineer hope guide inspires keep coding continue software engineering career
86,87,youtube,How I Would Learn To Code (If I Could Start Over),"In this video, I give you my step by step process on how I would learn to code if I could start over again. I also provide you with some of my recommended resources, explain how to choose a project, and specific projects to do. Perhaps most importantly, I give you tips on adopting the correct mindset and mentality that will help you learn to code faster and become better faster (these were my mistakes).",software development,beginner,no,free,,https://www.youtube.com/watch?v=MHPGeQD8TvI&t=455s,video give step step process would learn code could start also provide recommended resource explain choose project specific project perhaps importantly give tip adopting correct mindset mentality help learn code faster become better faster mistake
87,88,hackthebox,HackTheBox,"Choose between comprehensive beginner-level and advanced online courses covering offensive, defensive, or general cybersecurity fundamentals.",cybersecurity,any,no,free,,https://www.hackthebox.com/hacker,choose comprehensive beginnerlevel advanced online course covering offensive defensive general cybersecurity fundamental
88,89,tryhackme,TryHackMe,"Learn by following a structured paths and reinforce your skills in a real-world environment by completing guided, objective-based tasks and challenges.",cybersecurity,any,no,free,,https://tryhackme.com/,learn following structured path reinforce skill realworld environment completing guided objectivebased task challenge
89,90,adventofcode,Advent of Code,"Advent of Code is an Advent calendar of small programming puzzles for a variety of skill sets and skill levels that can be solved in any programming language you like. People use them as interview prep, company training, university coursework, practice problems, a speed contest, or to challenge each other. You don't need a computer science background to participate - just a little programming knowledge and some problem-solving skills will get you pretty far. Nor do you need a fancy computer; every problem has a solution that completes in at most 15 seconds on ten-year-old hardware.",programming,any,no,free,,https://adventofcode.com/,advent code advent calendar small programming puzzle variety skill set skill level solved programming language like people use interview prep company training university coursework practice problem speed contest challenge dont need computer science background participate little programming knowledge problemsolving skill get pretty far need fancy computer every problem solution completes 15 second tenyearold hardware
90,91,comptia,CompTIA Network+,"The CompTIA Network+ certification verifies that the successful candidate has the knowledge and skills required to: Establish network connectivity by deploying wired and wireless devices. Understand and maintain network documentation. Understand the purpose of network services, basic data center, cloud and virtual networking concepts. Monitor network activity, identifying performance and availability issues. Implement network hardening techniques. Manage, configure and troubleshoot network infrastructure.",cybersecurity,intermediate,yes,paid,,https://www.comptia.org/certifications/network#overview,comptia network certification verifies successful candidate knowledge skill required establish network connectivity deploying wired wireless device understand maintain network documentation understand purpose network service basic data center cloud virtual networking concept monitor network activity identifying performance availability issue implement network hardening technique manage configure troubleshoot network infrastructure
91,92,general assembly,Software Engineering,"Developed with guidance from our software engineering advisory board, our curriculum is primed for industry relevance. Learn the fundamental skills to build full-stack web applications on the job: computer science framework, collaboration tools, and the programming languages modern employers demand. Hone fluency in multiple frameworks and stacks. Apply essential object-oriented programming concepts, and leverage JavaScript libraries like React. Incorporate functionality from third-party APIs and add complexity and nuance with Python, Django, and more. Discover how to effectively communicate and collaborate with web development teams to carry out complex projects from concept to completion. Practise version control with Git and GitHub while executing software engineering projects in an Agile development workflow.",software development,beginner,yes,bootcamp,,https://generalassemb.ly/education/software-engineering-immersive/london,developed guidance software engineering advisory board curriculum primed industry relevance learn fundamental skill build fullstack web application job computer science framework collaboration tool programming language modern employer demand hone fluency multiple framework stack apply essential objectoriented programming concept leverage javascript library like react incorporate functionality thirdparty apis add complexity nuance python django discover effectively communicate collaborate web development team carry complex project concept completion practise version control git github executing software engineering project agile development workflow
92,93,general assembly,Data Science,"Data science has topped LinkedIn’s Emerging Jobs Report for three years running. Capitalise on demand with a program that's primed for industry relevance. Our curriculum is guided by the Data Science Standards Board — a group of data executives from companies like Bloomberg and Nielsen.Get hands-on with the skills you need to derive value from complex data. Dive into Python, data analysis, and statistical modeling. Then, branch into machine learning with algorithms of increasing complexity, from decision trees and random forests to natural language processing and neural networks. Tackle five projects, compiling a professional-grade portfolio of compelling stakeholder presentations and data visualisations. For your capstone, you’ll put machine-learning models into production to address a real-world data challenge.",data science,beginner,yes,bootcamp,,https://generalassemb.ly/education/data-science-immersive/london,data science topped linkedins emerging job report three year running capitalise demand program thats primed industry relevance curriculum guided data science standard board group data executive company like bloomberg nielsenget handson skill need derive value complex data dive python data analysis statistical modeling branch machine learning algorithm increasing complexity decision tree random forest natural language processing neural network tackle five project compiling professionalgrade portfolio compelling stakeholder presentation data visualisation capstone youll put machinelearning model production address realworld data challenge
93,94,ieee computer society,Professional Software Developer Certification,"This professional competency certification requires successful completion of Certificates of Proficiency in the following four key knowledge areas: Software Engineering Requirements, Software Engineering Design, Software Engineering Construction, Software Engineering Testing and the successful completion of an online exam. Candidates seeking this professional certification should have completed a minimum of two years of college education in computer science or equivalent in a related field and two years of relevant experience in industry. However, there are no prerequisites required for registration.",software development,intermediate,yes,paid,,https://www.computer.org/product/education/professional-software-developer-certification,professional competency certification requires successful completion certificate proficiency following four key knowledge area software engineering requirement software engineering design software engineering construction software engineering testing successful completion online exam candidate seeking professional certification completed minimum two year college education computer science equivalent related field two year relevant experience industry however prerequisite required registration
94,95,udemy,The Complete Python Bootcamp From Zero to Hero in Python,"This is the most comprehensive, yet straight-forward, course for the Python programming language on Udemy! Whether you have never programmed before, already know basic syntax, or want to learn about the advanced features of Python, this course is for you! In this course we will teach you Python 3. With over 100 lectures and more than 21 hours of video this comprehensive course leaves no stone unturned! This course includes quizzes, tests, coding exercises and homework assignments as well as 3 major projects to create a Python project portfolio! Learn how to use Python for real-world tasks, such as working with PDF Files, sending emails, reading Excel files, Scraping websites for informations, working with image files, and much more! This course will teach you Python in a practical manner, with every lecture comes a full coding screencast and a corresponding code notebook! Learn in whatever manner is best for you! We will start by helping you get Python installed on your computer, regardless of your operating system, whether its Linux, MacOS, or Windows, we've got you covered.",programming language,beginner,yes,paid,,https://www.udemy.com/course/complete-python-bootcamp/,comprehensive yet straightforward course python programming language udemy whether never programmed already know basic syntax want learn advanced feature python course course teach python 3 100 lecture 21 hour video comprehensive course leaf stone unturned course includes quiz test coding exercise homework assignment well 3 major project create python project portfolio learn use python realworld task working pdf file sending email reading excel file scraping website information working image file much course teach python practical manner every lecture come full coding screencast corresponding code notebook learn whatever manner best start helping get python installed computer regardless operating system whether linux macos window weve got covered
95,96,udemy,The Complete 2023 Web Development Bootcamp,"Welcome to the Complete Web Development Bootcamp, the only course you need to learn to code and become a full-stack web developer. At 65+ hours, this Web Development course is without a doubt the most comprehensive web development course available online. Even if you have zero programming experience, this course will take you from beginner to mastery. We'll take you step-by-step through engaging video tutorials and teach you everything you need to know to succeed as a web developer.",frontend development,beginner,yes,paid,,https://www.udemy.com/course/the-complete-web-development-bootcamp/,welcome complete web development bootcamp course need learn code become fullstack web developer 65 hour web development course without doubt comprehensive web development course available online even zero programming experience course take beginner mastery well take stepbystep engaging video tutorial teach everything need know succeed web developer
